TITLE = "CAX8R_SPHERE"
VARIABLES =    "X"   "Y"   "Z" "DIS"
     10.3201      3.8073      0.0000      0.0000
     11.2583      4.1534      0.0000      0.0000
     12.1965      4.4995      0.0000      0.0000
     13.1347      4.8456      0.0000      0.0000
     14.0729      5.1918      0.0000      0.0000
     15.0111      5.5379      0.0000      0.0000
     15.9493      5.8840      0.0000      0.0000
     16.8874      6.2301      0.0000      0.0000
     17.8256      6.5762      0.0000      0.0000
     18.7638      6.9223      0.0000      0.0000
      9.2388      3.8268      0.0000      0.0000
      9.7007      4.0182      0.0000      0.0000
     10.1627      4.2095      0.0000      0.0000
     10.6246      4.4009      0.0000      0.0000
     11.0866      4.5922      0.0000      0.0000
     11.5485      4.7835      0.0000      0.0000
     12.0104      4.9749      0.0000      0.0000
     12.4724      5.1662      0.0000      0.0000
     12.9343      5.3576      0.0000      0.0000
     13.3963      5.5489      0.0000      0.0000
     13.8582      5.7403      0.0000      0.0000
     14.3201      5.9316      0.0000      0.0000
     14.7821      6.1229      0.0000      0.0000
     15.2440      6.3143      0.0000      0.0000
     15.7060      6.5056      0.0000      0.0000
     16.1679      6.6970      0.0000      0.0000
     16.6298      6.8883      0.0000      0.0000
     17.0918      7.0796      0.0000      0.0000
     17.5537      7.2710      0.0000      0.0000
     18.0157      7.4623      0.0000      0.0000
     18.4776      7.6537      0.0000      0.0000
      9.0814      4.1866      0.0000      0.0000
      9.9896      4.6053      0.0000      0.0000
     10.8977      5.0239      0.0000      0.0000
     11.8059      5.4426      0.0000      0.0000
     12.7140      5.8612      0.0000      0.0000
     13.6221      6.2799      0.0000      0.0000
     14.5303      6.6986      0.0000      0.0000
     15.4384      7.1172      0.0000      0.0000
     16.3466      7.5359      0.0000      0.0000
     17.2547      7.9545      0.0000      0.0000
     18.1629      8.3732      0.0000      0.0000
      8.9101      4.5399      0.0000      0.0000
      9.3556      4.7669      0.0000      0.0000
      9.8011      4.9939      0.0000      0.0000
     10.2466      5.2209      0.0000      0.0000
     10.6921      5.4479      0.0000      0.0000
     11.1376      5.6749      0.0000      0.0000
     11.5831      5.9019      0.0000      0.0000
     12.0286      6.1289      0.0000      0.0000
     12.4741      6.3559      0.0000      0.0000
     12.9196      6.5829      0.0000      0.0000
     13.3651      6.8099      0.0000      0.0000
     13.8106      7.0369      0.0000      0.0000
     14.2561      7.2638      0.0000      0.0000
     14.7016      7.4908      0.0000      0.0000
     15.1471      7.7178      0.0000      0.0000
     15.5926      7.9448      0.0000      0.0000
     16.0381      8.1718      0.0000      0.0000
     16.4836      8.3988      0.0000      0.0000
     16.9291      8.6258      0.0000      0.0000
     17.3746      8.8528      0.0000      0.0000
     17.8201      9.0798      0.0000      0.0000
      8.7250      4.8862      0.0000      0.0000
      9.5975      5.3748      0.0000      0.0000
     10.4700      5.8635      0.0000      0.0000
     11.3424      6.3521      0.0000      0.0000
     12.2149      6.8407      0.0000      0.0000
     13.0874      7.3293      0.0000      0.0000
     13.9599      7.8179      0.0000      0.0000
     14.8324      8.3066      0.0000      0.0000
     15.7049      8.7952      0.0000      0.0000
     16.5774      9.2838      0.0000      0.0000
     17.4499      9.7724      0.0000      0.0000
      8.5264      5.2250      0.0000      0.0000
      8.9527      5.4862      0.0000      0.0000
      9.3790      5.7475      0.0000      0.0000
      9.8054      6.0087      0.0000      0.0000
     10.2317      6.2700      0.0000      0.0000
     10.6580      6.5312      0.0000      0.0000
     11.0843      6.7925      0.0000      0.0000
     11.5106      7.0537      0.0000      0.0000
     11.9370      7.3150      0.0000      0.0000
     12.3633      7.5762      0.0000      0.0000
     12.7896      7.8375      0.0000      0.0000
     13.2159      8.0987      0.0000      0.0000
     13.6422      8.3600      0.0000      0.0000
     14.0686      8.6212      0.0000      0.0000
     14.4949      8.8825      0.0000      0.0000
     14.9212      9.1437      0.0000      0.0000
     15.3475      9.4050      0.0000      0.0000
     15.7738      9.6662      0.0000      0.0000
     16.2002      9.9275      0.0000      0.0000
     16.6265     10.1887      0.0000      0.0000
     17.0528     10.4500      0.0000      0.0000
      8.3147      5.5557      0.0000      0.0000
      9.1462      6.1113      0.0000      0.0000
      9.9776      6.6668      0.0000      0.0000
     10.8091      7.2224      0.0000      0.0000
     11.6406      7.7780      0.0000      0.0000
     12.4720      8.3336      0.0000      0.0000
     13.3035      8.8891      0.0000      0.0000
     14.1350      9.4447      0.0000      0.0000
     14.9665     10.0003      0.0000      0.0000
     15.7979     10.5558      0.0000      0.0000
     16.6294     11.1114      0.0000      0.0000
      8.0902      5.8779      0.0000      0.0000
      8.4947      6.1717      0.0000      0.0000
      8.8992      6.4656      0.0000      0.0000
      9.3037      6.7595      0.0000      0.0000
      9.7082      7.0534      0.0000      0.0000
     10.1127      7.3473      0.0000      0.0000
     10.5172      7.6412      0.0000      0.0000
     10.9217      7.9351      0.0000      0.0000
     11.3262      8.2290      0.0000      0.0000
     11.7307      8.5229      0.0000      0.0000
     12.1353      8.8168      0.0000      0.0000
     12.5398      9.1107      0.0000      0.0000
     12.9443      9.4046      0.0000      0.0000
     13.3488      9.6985      0.0000      0.0000
     13.7533      9.9923      0.0000      0.0000
     14.1578     10.2862      0.0000      0.0000
     14.5623     10.5801      0.0000      0.0000
     14.9668     10.8740      0.0000      0.0000
     15.3713     11.1679      0.0000      0.0000
     15.7758     11.4618      0.0000      0.0000
     16.1803     11.7557      0.0000      0.0000
      7.8532      6.1909      0.0000      0.0000
      8.6385      6.8100      0.0000      0.0000
      9.4238      7.4291      0.0000      0.0000
     10.2091      8.0482      0.0000      0.0000
     10.9944      8.6673      0.0000      0.0000
     11.7798      9.2864      0.0000      0.0000
     12.5651      9.9055      0.0000      0.0000
